Country,2019 Population,GDP (IMF),GDP (UN '16),GDP Per Capita,Amount,Date,Country
Moldova,4029.75,9.903,6.772647958,2457.472548,098.36,2006,Moldova
Mongolia,3166.244,13.786,11.16035669,4354.054836,097.77,2006,Mongolia
Morocco,36635.156,129.033,103.6065749,3522.108654,052.31,2006,Morocco
Mozambique,31408.823,15.017,10.93013157,478.1140637,033.48,1990,Mozambique
Namibia,2641.996,14.071,10.94727725,5325.897541,085.04,2006,Namibia
Nepal,29942.018,28.75,20.91400496,960.1891229,048.59,2006,Nepal
Netherlands,17132.908,994.771,777.2275416,58062.00559,095.65,1990,Netherlands Antilles
New Caledonia,283.376,0,9.445714851,33332.79759,096.20,2006,New Caledonia
Nicaragua,6351.157,15.499,13.23021488,2440.34276,076.68,2006,Nicaragua
Niger,23176.691,10.717,7.528285819,462.4042319,028.66,2006,Niger
Nigeria,200962.417,475.566,404.6491254,2366.442478,048.66,1990,Nigeria
Oman,5001.875,85.636,63.1709594,17120.77971,081.35,2006,Oman
Pakistan,204596.442,0,282.5060079,1380.796289,049.85,2006,Pakistan
Panama,4226.197,72.371,55.1878,17124.3792,091.90,2006,Panama
Papua New Guinea,8586.525,27.411,19.69411573,3192.327513,057.34,2006,Papua New Guinea
Paraguay,6981.981,34.615,27.16510191,4957.761988,090.32,1990,Paraguay
Peru,32933.835,246.714,192.2095296,7491.201678,087.67,2006,Peru
Philippines,108106.31,355.744,304.9056389,3290.686732,092.60,2006,Philippines
Qatar,2743.901,193.906,152.4519231,70668.00151,088.96,2006,Qatar
Romania,19483.36,265.265,186.6909767,13614.95143,097.30,2006,Romania
Russia,143895.551,1754.29,1246.015057,12191.41237,099.44,2006,Russia
Rwanda,12794.412,10.532,8.473784827,823.171866,064.90,2006,Rwanda
Samoa,198.909,0.92,0.822233281,4625.230633,097.99,1990,Samoa
Saudi Arabia,34140.662,759.219,639.6170509,22237.96949,079.35,2006,Saudi Arabia
Senegal,16743.859,21.722,14.60452053,1297.31145,039.28,2006,Senegal
Serbia,8733.407,51.304,38.2998719,5874.454265,096.40,2006,Serbia and Montenegro
Seychelles,95.702,1.659,1.433826317,17335.06092,091.84,2006,Seychelles
Sierra Leone,7883.123,3.976,3.674756785,504.3686366,035.09,2006,Sierra Leone
Singapore,5868.104,367.783,296.9462784,62674.92873,092.55,2006,Singapore
Slovakia,5450.987,119.875,89.76859802,21991.43018,099.63,2006,Slovakia
Slovenia,2081.9,60.638,44.70859865,29126.27888,099.56,1990,Slovenia
South Africa,58065.097,386.853,295.4400098,6662.401683,082.40,2006,South Africa
Sri Lanka,21018.859,99.651,81.32197097,4741.028045,090.68,2006,Sri Lanka
Sudan,42514.094,0,82.8873959,1949.64512,060.93,2006,Sudan
Suriname,573.085,4.226,3.278445033,7374.124257,089.60,2006,Suriname
Swaziland,1415.414,4.644,4.007002048,3281.01884,079.56,2006,Swaziland
Syria,18499.181,0,22.16307512,1198.057099,079.56,2006,Syria
Tajikistan,9292,8.176,6.951679338,879.8966853,099.45,2006,Tajikistan
Tanzania,60913.557,61.66,0,1012.254136,069.43,2006,Tanzania
Thailand,69306.16,520.074,407.0263195,7504.008302,092.65,2006,Thailand
Togo,8186.384,6.078,4.449262345,742.4523453,053.16,2006,Togo
Tonga,110.041,0.454,0.401460313,4125.734953,098.91,2006,Tonga
Trinidad and Tobago,1375.443,22.533,24.08617656,16382.35827,096.84,1990,Trinidad and Tobago
Tunisia,11783.168,41.956,41.7035614,3560.672308,074.30,2006,Tunisia
Turkey,82961.805,961.655,863.7117105,11591.53902,087.37,2006,Turkey
Turkmenistan,5942.561,46.401,36.17988571,7808.249676,098.78,2006,Turkmenistan
Uganda,45711.874,29.69,25.30784247,649.5030153,066.81,2006,Uganda
Ukraine,43795.22,126.721,93.27035485,2893.489289,099.43,2006,Ukraine
United Arab Emirates,9682.088,427.83,348.7436276,44187.78264,071.04,1990,United Arab Emirates
Uruguay,3482.156,66.749,52.41971846,19168.87124,096.51,1990,Uruguay
Uzbekistan,32807.368,47.892,67.77890244,1459.794032,098.65,1990,Uzbekistan
Vanuatu,288.017,1.024,0.83751979,3555.345691,074.00,2006,Vanuatu
Venezuela,32779.868,92.417,291.3764373,2819.321908,092.98,2006,Venezuela
Vietnam,97429.061,264.939,205.2761713,2719.301585,090.28,2006,Vietnam
Yemen,29579.986,17.452,25.37408644,589.9935179,032.68,1990,Yemen
Zambia,18137.369,27.217,21.06306398,1500.603533,068.00,2006,Zambia
Zimbabwe,17297.495,21.067,16.12376365,1217.922017,080.70,1990,Zimbabwe
